Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
311,2,2.000,719451,719451,1086269,902860,1086269,1086269,1086269,1086269,1086269
312,1,1.000,225958,225958,225958,225958,225958,225958,225958,225958,225958
313,3,3.000,59756,59756,176888,375874,890980,890980,890980,890980,890980
314,2,2.000,229907,229907,839433,534670,839433,839433,839433,839433,839433
315,2,2.000,192008,192008,818576,505292,818576,818576,818576,818576,818576
316,3,3.000,55120,55120,185599,373009,878310,878310,878310,878310,878310
317,2,2.000,60145,60145,615023,337584,615023,615023,615023,615023,615023
318,2,2.000,184447,184447,983634,584040,983634,983634,983634,983634,983634
319,4,4.000,160433,182525,431231,359054,662030,662030,662030,662030,662030
320,2,2.000,173785,173785,181514,177649,181514,181514,181514,181514,181514
321,2,2.000,174403,174403,932762,553582,932762,932762,932762,932762,932762
322,5,5.000,56987,171620,174879,205098,181272,440735,440735,440735,440735
323,4,4.000,54911,70214,191794,221645,569664,569664,569664,569664,569664
324,2,2.000,183969,183969,941669,562819,941669,941669,941669,941669,941669
325,2,2.000,174038,174038,778292,476165,778292,778292,778292,778292,778292
326,3,3.000,57808,57808,580318,431375,656001,656001,656001,656001,656001
327,1,1.000,727158,727158,727158,727158,727158,727158,727158,727158,727158
328,3,3.000,170533,170533,187684,306147,560224,560224,560224,560224,560224
329,3,3.000,174064,174064,201582,360687,706416,706416,706416,706416,706416
330,3,3.000,177220,177220,673372,525313,725349,725349,725349,725349,725349
331,1,1.000,559178,559178,559178,559178,559178,559178,559178,559178,559178
332,3,3.000,180916,180916,197832,307413,543492,543492,543492,543492,543492
333,6,6.000,57227,167709,180980,158719,181711,194207,194207,194207,194207
334,4,4.000,59658,170970,434530,277593,445215,445215,445215,445215,445215
335,5,5.000,176683,178644,193648,270395,195379,607622,607622,607622,607622
336,3,3.000,175127,175127,209557,385343,771346,771346,771346,771346,771346
337,2,2.000,172991,172991,739355,456173,739355,739355,739355,739355,739355
338,1,1.000,824619,824619,824619,824619,824619,824619,824619,824619,824619
339,1,1.000,721634,721634,721634,721634,721634,721634,721634,721634,721634
340,3,3.000,180266,180266,199338,382992,769372,769372,769372,769372,769372
341,1,1.000,861388,861388,861388,861388,861388,861388,861388,861388,861388
342,1,1.000,924328,924328,924328,924328,924328,924328,924328,924328,924328
343,1,1.000,871980,871980,871980,871980,871980,871980,871980,871980,871980
344,2,2.000,485502,485502,526890,506196,526890,526890,526890,526890,526890
345,2,2.000,167564,167564,871574,519569,871574,871574,871574,871574,871574
346,3,3.000,157516,157516,170267,379782,811565,811565,811565,811565,811565
347,2,2.000,500035,500035,527089,513562,527089,527089,527089,527089,527089
348,3,3.000,175900,175900,494811,423484,599743,599743,599743,599743,599743
349,1,1.000,552060,552060,552060,552060,552060,552060,552060,552060,552060
350,3,3.000,169586,169586,171854,448934,1005362,1005362,1005362,1005362,1005362
